frase,score,razón
acceso,2,urgencia
acceso ahora,4,urgencia
acto,3,urgencia
actuar inmediatamente,7,urgencia
actuar ahora,8,urgencia
acción,3,urgencia
acción requerida,7,urgencia
aplicar aquí,2,urgencia
aplica ya,4,urgencia
aplica online,2,urgencia
convertirse en miembro,2,urgencia
Antes de que sea demasiado tarde,8,urgencia
Ser miembro,2,urgencia
comprar,2,urgencia
comprar directo,2,urgencia
comprar ahora,5,urgencia
comprar hoy,5,urgencia
llamar,2,urgencia
Llamada gratis,3,urgencia
llámame,2,urgencia
llama ahora,5,urgencia
¿Podemos tener un minuto de tu tiempo?,5,urgencia
cancelar ahora,5,urgencia
Cancelación requerida,7,urgencia
reclama ahora,5,urgencia
hacer clic,2,urgencia
haga click abajo,4,urgencia
haga clic aquí,2,urgencia
Haga clic en mí para descargar,4,urgencia
Haga clic ahora,4,urgencia
Haga clic en este enlace,4,urgencia
Haga clic para obtener,4,urgencia
Haga clic para eliminar,4,urgencia
Contáctenos de inmediato,6,urgencia
trato terminando pronto,7,urgencia
hazlo ahora,7,urgencia
hazlo hoy,6,urgencia
No elimine,2,urgencia
No dudes,3,urgencia
No pierdas el tiempo,4,urgencia
trato exclusivo,6,urgencia
expirar,4,urgencia
vence hoy,6,urgencia
llamada final,8,urgencia
Para acceso instantáneo,5,urgencia
Por sólo,3,urgencia
para ti,2,urgencia
alejarlo,4,urgencia
consiguelo ahora,6,urgencia
obtener ahora,5,urgencia
recibir el pago,2,urgencia
Empezar,2,urgencia
empieza ahora,4,urgencia
gran oferta,4,urgencia
apresúrate,5,urgencia
inmediatamente,4,urgencia
Información que solicitó,3,urgencia
Información que solicitó,3,urgencia
instante,4,urgencia
tiempo limitado,5,urgencia
Solo nuevos clientes,7,urgencia
ahora,2,urgencia
solo ahora,5,urgencia
La oferta expira,7,urgencia
una vez en la vida,8,urgencia
solo,2,urgencia
ordenar ahora,5,urgencia
ordenar hoy,5,urgencia
por favor lee,2,urgencia
comprar ahora,5,urgencia
Regístrate gratis,2,urgencia
Regístrese gratis hoy,4,urgencia
Los suministros son limitados,6,urgencia
tomar acción,4,urgencia
tomar medidas ahora,6,urgencia
Esto no durará,6,urgencia
tiempo limitado,5,urgencia
hoy,3,urgencia
muy urgente,7,urgencia
ensayo,4,urgencia
urgente,7,urgencia
¿Que estas esperando?,5,urgencia
mientras duren las reservas,6,urgencia
Eres un ganador,6,urgencia
0 hacia abajo,2,dudoso
4U,4,dudoso
todo natural,3,dudoso
todo nuevo,3,dudoso
todo natural,3,dudoso
todo nuevo,3,dudoso
prestación,2,dudoso
como se ve en,3,dudoso
Como se ve en Oprah,5,dudoso
sin costo,3,dudoso
Extracción de correo electrónico automático,6,dudoso
evitar,4,dudoso
oferta beneficiosa,6,dudoso
beneficiario,2,dudoso
buscapersonas,4,dudoso
correo electrónico a granel,8,dudoso
compra de juicios,9,dudoso
compra de juicios,9,dudoso
convertidor de cable,4,dudoso
Llamar a los acreedores,6,dudoso
¿puedes ayudarnos?,5,dudoso
Cancelar en cualquier momento,2,dudoso
no se puede combinar,3,dudoso
celebridad,4,dudoso
estafa de cáncer de teléfono celular,9,dudoso
certificado,3,dudoso
oportunidad,4,dudoso
barato,4,dudoso
medicamentos baratos,9,dudoso
cialis,10,dudoso
reclamos,5,dudoso
afirma no vender nada,6,dudoso
reclamos estar de acuerdo con alguna ley de spam,7,dudoso
reclamos ser legales,2,dudoso
autorización,3,dudoso
recolectar,1,dudoso
recolectar manutención de los hijos,7,dudoso
comparar,1,dudoso
